  83 | 7417.47849  1.29E-24  1198.21896 | 7417.47732   14   3 | 7418.12143  9.08E-25  1198.21550 | 254   4   3  002121   1  8616.3369   253 | 515   5   3  010000   0  1198.2155  1198 | 4.2  -0.63948    1.417  8.0E-6  5.1E-4  5.1E-4
  84 | 7417.62317  1.39E-24             |                     |                                  |                                          |                                          |                                 4.7E-4
  85 | 7417.80238  4.19E-24             |                     |                                  |                                          |                                          |                                 2.9E-4
  86 | 7418.15603  7.54E-24   119.23786 | 7418.15625   14   2 | 7418.02725  6.78E-24   119.23840 | 536   2   1  110202   0  7537.2657   101 | 212   3   0  000000   0   119.2384   119 | 2.5  +0.12824    1.113  3.5E-6  1.0E-4  1.0E-4
  87 | 7418.20215  5.73E-24             |                     |                                  |                                          |                                          |                                 1.4E-4
  88 | 7418.39494  2.49E-24             |                     |                                  |                                          |                                          |                                 3.1E-4
  89 | 7418.65160  7.35E-25             |                     |                                  |                                          |                                          |                                 1.0E-3
  90 | 7418.94278  6.35E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
  91 | 7419.04336  5.84E-24             |                     |                                  |                                          |                                          |                                 1.3E-4
  92 | 7419.23876  7.00E-24             |                     |                                  |                                          |                                          |                                 1.1E-4
  93 | 7419.46239  8.72E-24             |                     |                                  |                                          |                                          |                                 8.8E-5
  94 | 7419.57205  9.86E-24             |                     |                                  |                                          |                                          |                                 7.8E-5
  95 | 7419.84744  3.54E-24             |                     |                                  |                                          |                                          |                                 2.1E-4
  96 | 7420.01853  2.68E-24             |                     |                                  |                                          |                                          |                                 3.3E-4
  97 | 7420.29067  8.66E-25             |                     |                                  |                                          |                                          |                                 8.8E-4
  98 | 7420.35228  8.51E-25             |                     |                                  |                                          |                                          |                                 8.9E-4
  99 | 7420.69133  3.84E-24   550.75867 | 7420.68964   98   2 | 7420.18657  1.05E-24   550.75890 | 313   6   2  210000   0  7970.9454   503 | 616   7   1  000000   0   550.7589   551 | 6.3  +0.50453    3.658  5.7E-6  2.0E-4  2.0E-4
 100 | 7420.96675  5.67E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
 101 | 7421.02547  1.38E-24   496.67624 | 7421.03007    4   2 | 7420.79910  7.65E-25   496.67510 | 366   6   5  011210   1  7917.4742   491 | 653   7   4  000000   1   496.6751   497 | 6.3  +0.22751    1.805  8.2E-6  5.5E-4  5.5E-4
 102 | 7421.16273  1.69E-24             |                     |                                  |                                          |                                          |                                 4.5E-4
 103 | 7421.23159  1.27E-24             |                     |                                  |                                          |                                          |                                 6.0E-4
 104 | 7421.48863  6.27E-25   888.50079 | 7421.48768   13   3 | 7421.35057  2.84E-25   888.49840 | 563   8   4  111010   1  8309.8489   354 | 212   9   0  000000   0   888.4984   889 | 8.5  +0.14045    2.208  9.7E-5  1.2E-3  1.2E-3
 105 | 7421.59170  6.46E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
 106 | 7421.63858  1.25E-24             |                     |                                  |                                          |                                          |                                 6.1E-4
 107 | 7421.70433  3.03E-24             |                     |                                  |                                          |                                          |                                 2.5E-4
 108 | 7421.83069  1.60E-24             |                     |                                  |                                          |                                          |                                 4.8E-4
 109 | 7421.99722  1.16E-24             |                     |                                  |                                          |                                          |                                 6.7E-4
 110 | 7422.05310  1.67E-24             |                     |                                  |                                          |                                          |                                 4.5E-4
 111 | 7422.29935  1.22E-24             |                     |                                  |                                          |                                          |                                 6.1E-4
 112 | 7422.68786  1.17E-24   708.23856 | 7422.68782    9   2 | 7422.51520  9.78E-25   708.23780 | 332   7   0  011210   0  8130.7530   591 | 616   8   1  000000   0   708.2378   708 | 7.3  +0.17342    1.191  7.2E-6  6.4E-4  6.4E-4
 113 | 7422.82879  1.32E-24             |                     |                                  |                                          |                                          |                                 5.6E-4
 114 | 7422.92675  2.85E-24   383.31849 | 7422.92738    2   2 | 7422.78342  2.40E-24   383.31850 | 233   5   4  011210   0  7806.1019   217 | 515   6   3  000000   0   383.3185   383 | 5.2  +0.14332    1.188  9.8E-6  2.6E-4  2.6E-4
 115 | 7423.01408  8.00E-25             |                     |                                  |                                          |                                          |                                 9.3E-4
 116 | 7423.23342  6.64E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
 117 | 7423.27655  5.49E-25             |                     |                                  |                                          |                                          |                                 1.4E-3
 118 | 7423.59110  6.47E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
 119 | 7423.99429  6.85E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
 120 | 7424.10549  2.14E-23   283.57452 | 7424.10553    6   1 | 7423.71946  1.92E-23   283.57190 | 536   5   5  110202   0  7707.2914   189 | 212   6   6  000000   0   283.5719   284 | 5.5  +0.38865    1.114  9.6E-6  5.1E-5  5.2E-5
 121 | 7424.13150  9.45E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
 122 | 7424.16009  1.02E-24             |                     |                                  |                                          |                                          |                                 8.6E-4
 123 | 7424.37936  2.65E-24             |                     |                                  |                                          |                                          |                                 2.8E-4
 124 | 7424.50678  1.49E-24             |                     |                                  |                                          |                                          |                                 5.0E-4
