3922 | 8040.52170  6.60E-25             |                     |                                  |                                          |                                          |                                 1.5E-3
3923 | 8040.76736  4.82E-24             |                     |                                  |                                          |                                          |                                 2.1E-4
3924 | 8041.56613  2.27E-24             |                     |                                  |                                          |                                          |                                 4.4E-4
3925 | 8041.66477  9.48E-25             |                     |                                  |                                          |                                          |                                 1.0E-3
3926 | 8042.41852  3.05E-24             |                     |                                  |                                          |                                          |                                 2.6E-4
3927 | 8042.48421  2.50E-24   413.23786 | 8042.48786    7   2 | 8043.04155  3.18E-24   413.23810 | 663   5   2  101111   1  8456.2797   557 | 356   6   1  000000   1   413.2381   413 | 5.6  -0.55758    0.787  4.4E-6  6.4E-4  6.4E-4
3928 | 8042.50235  2.05E-24             |                     |                                  |                                          |                                          |                                 7.8E-4
3929 | 8043.14161  8.78E-25             |                     |                                  |                                          |                                          |                                 8.9E-4
3930 | 8043.20107  3.31E-24   412.62438 | 8043.20382    6   2 | 8043.22561  4.09E-24   412.62500 | 333   5   2  101111   0  8455.8507   553 | 616   6   1  000000   0   412.6250   413 | 5.3  -0.02516    0.810  4.3E-6  5.4E-4  5.4E-4
3931 | 8043.21821  9.36E-25             |                     |                                  |                                          |                                          |                                 1.9E-3
3932 | 8043.35671  2.57E-24             |                     |                                  |                                          |                                          |                                 3.0E-4
3933 | 8043.58796  1.16E-24             |                     |                                  |                                          |                                          |                                 6.8E-4
3934 | 8043.73796  7.76E-25             |                     |                                  |                                          |                                          |                                 1.0E-3
3935 | 8043.97930  7.13E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
3936 | 8044.09022  5.24E-25             |                     |                                  |                                          |                                          |                                 1.5E-3
3937 | 8044.12999  7.30E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
3938 | 8044.36234  1.08E-24             |                     |                                  |                                          |                                          |                                 1.5E-3
3939 | 8044.38025  1.32E-24             |                     |                                  |                                          |                                          |                                 1.2E-3
3940 | 8044.48246  2.43E-24             |                     |                                  |                                          |                                          |                                 3.2E-4
3941 | 8044.69157  3.55E-24             |                     |                                  |                                          |                                          |                                 2.2E-4
3942 | 8045.16579  7.21E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
3943 | 8045.28271  9.57E-25             |                     |                                  |                                          |                                          |                                 8.2E-4
3944 | 8045.55876  8.26E-25   554.39314 | 8045.55565    5   3 | 8045.72201  9.14E-25   554.39340 | 536   6   5  000501   0  8600.1154   351 | 212   7   0  000000   0   554.3934   554 | 6.5  -0.16351    0.904  7.5E-6  9.5E-4  9.5E-4
3945 | 8046.67970  4.41E-24   679.83684 | 8046.67988   12   2 | 8046.65342  4.73E-24   679.83520 | 563   7   2  101111   1  8726.4887   379 | 254   8   3  000000   1   679.8352   680 | 7.5  +0.02792    0.933  1.1E-5  1.9E-4  1.9E-4
3946 | 8046.99810  2.95E-24   798.37464 | 8046.99783   41   2 | 8046.83409  2.63E-24   798.37220 | 332   8   6  101111   0  8845.2063   876 | 616   9   5  000000   0   798.3722   798 | 8.3  +0.16645    1.123  3.3E-4  2.9E-4  4.4E-4
3947 | 8047.06256  3.98E-24             |                     |                                  |                                          |                                          |                                 2.1E-4
3948 | 8047.48245  8.00E-25             |                     |                                  |                                          |                                          |                                 1.0E-3
3949 | 8047.58005  2.16E-24             |                     |                                  |                                          |                                          |                                 3.9E-4
3950 | 8047.77686  9.53E-25             |                     |                                  |                                          |                                          |                                 8.8E-4
3951 | 8047.88397  1.12E-24             |                     |                                  |                                          |                                          |                                 7.5E-4
3952 | 8047.96961  1.15E-24             |                     |                                  |                                          |                                          |                                 7.3E-4
3953 | 8048.08414  4.00E-24             |                     |                                  |                                          |                                          |                                 2.1E-4
3954 | 8048.53635  5.52E-24   551.32043 | 8048.53670   14   2 | 8048.80788  5.84E-24   551.32010 | 661   6   0  101111   1  8600.1280   671 | 356   7   1  000000   1   551.3201   551 | 6.6  -0.27120    0.945  5.7E-6  2.9E-4  2.9E-4
3955 | 8048.55652  2.27E-24             |                     |                                  |                                          |                                          |                                 7.6E-4
3956 | 8048.58793  2.63E-24   759.00250 | 8048.58791   43   2 | 8048.20081  2.28E-24   758.99950 | 266   8   5  200101   1  8807.2003   413 | 551   9   6  000000   1   758.9995   759 | 8.2  +0.39012    1.154  1.9E-4  3.7E-4  4.2E-4
3957 | 8048.86299  9.90E-25             |                     |                                  |                                          |                                          |                                 8.5E-4
3958 | 8049.01676  3.22E-24             |                     |                                  |                                          |                                          |                                 2.8E-4
3959 | 8049.05175  1.68E-24             |                     |                                  |                                          |                                          |                                 5.3E-4
3960 | 8049.09533  5.51E-25             |                     |                                  |                                          |                                          |                                 1.5E-3
3961 | 8049.15551  6.15E-25             |                     |                                  |                                          |                                          |                                 1.4E-3
3962 | 8049.28952  1.38E-24             |                     |                                  |                                          |                                          |                                 6.1E-4
3963 | 8049.35721  9.23E-25             |                     |                                  |                                          |                                          |                                 9.2E-4
3964 | 8049.57482  1.31E-24             |                     |                                  |                                          |                                          |                                 6.5E-4
3965 | 8049.61600  1.90E-24             |                     |                                  |                                          |                                          |                                 4.5E-4
3966 | 8049.69605  1.27E-24             |                     |                                  |                                          |                                          |                                 6.8E-4
3967 | 8049.73537  9.46E-25             |                     |                                  |                                          |                                          |                                 1.5E-3
3968 | 8049.75613  1.07E-24             |                     |                                  |                                          |                                          |                                 1.3E-3
3969 | 8049.81039  9.44E-25             |                     |                                  |                                          |                                          |                                 9.1E-4
3970 | 8049.84957  2.67E-24             |                     |                                  |                                          |                                          |                                 3.2E-4
3971 | 8049.99866  1.18E-24             |                     |                                  |                                          |                                          |                                 7.2E-4
3972 | 8050.18524  7.43E-24             |                     |                                  |                                          |                                          |                                 1.6E-4
3973 | 8050.29139  7.93E-25             |                     |                                  |                                          |                                          |                                 1.4E-3
3974 | 8050.53330  2.19E-24   416.88781 | 8050.53091    9   3 | 8050.66909  1.04E-24   416.88810 | 233   5   2  120202   0  8467.5572   292 | 551   6   0  000000   1   416.8881   417 | 5.2  -0.13608    2.108  7.0E-6  5.3E-4  5.3E-4
3975 | 8050.75994  1.72E-24             |                     |                                  |                                          |                                          |                                 7.1E-4
3976 | 8050.79739  1.47E-24   554.39314 | 8050.79774    6   3 | 8052.06567  1.21E-24   554.39340 | 536   6   5  021212   0  8606.4591   352 | 212   7   0  000000   0   554.3934   554 | 6.5  -1.26854    1.213  7.5E-6  1.1E-3  1.1E-3
3977 | 8050.82441  2.85E-24   412.62438 | 8050.82360   20   3 | 8050.70539  2.18E-24   412.62500 | 313   5   4  001311   0  8463.3304   555 | 616   6   1  000000   0   412.6250   413 | 5.3  +0.11840    1.308  4.3E-6  5.3E-4  5.3E-4
3978 | 8051.03464  4.14E-24   679.28796 | 8051.03420   10   2 | 8050.75037  8.68E-24   679.28700 | 233   7   2  101111   0  8730.0373   402 | 515   8   3  000000   0   679.2870   679 | 7.2  +0.28523    0.477  1.1E-5  2.8E-4  2.8E-4
3979 | 8051.08505  4.24E-24             |                     |                                  |                                          |                                          |                                 2.7E-4
3980 | 8051.19323  7.82E-24   550.75867 | 8051.19276   10   2 | 8051.10607  6.06E-24   550.75890 | 331   6   0  101111   0  8601.8650   678 | 616   7   1  000000   0   550.7589   551 | 6.3  +0.08693    1.291  5.7E-6  2.0E-4  2.0E-4
3981 | 8051.21891  7.39E-24   283.61672 | 8051.22334    3   2 | 8051.29127  4.31E-24   283.61690 | 364   4   3  101111   1  8334.9081   445 | 653   5   2  000000   1   283.6169   284 | 4.3  -0.07254    1.714  3.6E-6  2.2E-4  2.2E-4
3982 | 8051.48645  4.65E-24             |                     |                                  |                                          |                                          |                                 6.3E-4
3983 | 8051.50295  7.97E-24             |                     |                                  |                                          |                                          |                                 3.7E-4
3984 | 8051.58837  1.51E-24             |                     |                                  |                                          |                                          |                                 7.6E-4
3985 | 8051.76615  4.51E-24             |                     |                                  |                                          |                                          |                                 2.6E-4
3986 | 8052.12507  3.03E-24             |                     |                                  |                                          |                                          |                                 3.8E-4
3987 | 8052.54092  9.32E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
3988 | 8052.71195  2.59E-24             |                     |                                  |                                          |                                          |                                 4.4E-4
3989 | 8053.14885  6.76E-24             |                     |                                  |                                          |                                          |                                 1.7E-4
3990 | 8053.29278  1.13E-24             |                     |                                  |                                          |                                          |                                 1.0E-3
3991 | 8053.45294  1.36E-24   679.28796 | 8053.45235    5   3 | 8053.27828  1.78E-24   679.28700 | 266   7   1  101111   1  8732.5652   404 | 515   8   3  000000   0   679.2870   679 | 7.2  +0.17562    0.762  1.1E-5  8.5E-4  8.5E-4
3992 | 8053.52603  5.03E-24             |                     |                                  |                                          |                                          |                                 2.3E-4
3993 | 8053.70474  7.65E-24             |                     |                                  |                                          |                                          |                                 2.2E-4
3994 | 8053.73102  4.21E-24             |                     |                                  |                                          |                                          |                                 5.9E-4
3995 | 8053.75509  7.36E-24   540.42176 | 8053.75677   12   2 | 8053.76492  5.96E-24   540.42130 | 366   6   1  101111   1  8594.1862   676 | 653   7   2  000000   1   540.4213   540 | 6.3  -0.00937    1.235  6.4E-6  2.5E-4  2.5E-4
3996 | 8054.11849  3.50E-24             |                     |                                  |                                          |                                          |                                 2.6E-4
3997 | 8054.20194  9.85E-24             |                     |                                  |                                          |                                          |                                 9.6E-5
3998 | 8054.32832  1.39E-24             |                     |                                  |                                          |                                          |                                 6.7E-4
3999 | 8054.60193  1.05E-24             |                     |                                  |                                          |                                          |                                 1.1E-3
4000 | 8054.62893  1.47E-24             |                     |                                  |                                          |                                          |                                 7.9E-4
4001 | 8054.69384  7.15E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
4002 | 8054.75706  5.96E-25             |                     |                                  |                                          |                                          |                                 1.5E-3
4003 | 8054.82451  6.37E-24             |                     |                                  |                                          |                                          |                                 8.4E-4
4004 | 8054.83459  7.93E-24   654.45038 | 8054.83677   12   3 | 8054.66356  5.51E-24   654.44860 | 364   7   3  101111   1  8709.1121   769 | 653   8   4  000000   1   654.4486   654 | 7.3  +0.17281    1.439  7.4E-6  6.8E-4  6.8E-4
4005 | 8054.88610  5.02E-24             |                     |                                  |                                          |                                          |                                 1.8E-4
4006 | 8054.95785  9.09E-24             |                     |                                  |                                          |                                          |                                 1.0E-4
4007 | 8055.08611  6.27E-24             |                     |                                  |                                          |                                          |                                 1.5E-4
4008 | 8055.17175  6.58E-25             |                     |                                  |                                          |                                          |                                 1.4E-3
4009 | 8055.26158  7.03E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
4010 | 8055.44558  2.16E-24             |                     |                                  |                                          |                                          |                                 4.2E-4
4011 | 8055.78049  5.33E-25             |                     |                                  |                                          |                                          |                                 1.7E-3
4012 | 8055.89436  7.13E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
4013 | 8055.99914  7.54E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
4014 | 8056.12788  1.33E-24             |                     |                                  |                                          |                                          |                                 6.9E-4
4015 | 8056.34006  1.08E-24             |                     |                                  |                                          |                                          |                                 8.5E-4
4016 | 8056.40093  1.82E-24             |                     |                                  |                                          |                                          |                                 5.4E-4
4017 | 8056.44070  3.52E-23   416.88781 | 8056.44082    3   3 | 8056.32633  3.77E-23   416.88810 | 266   5   1  101111   1  8473.2145   294 | 551   6   0  000000   1   416.8881   417 | 5.2  +0.11408    0.934  7.0E-6  2.8E-5  2.9E-5
4018 | 8056.86754  1.28E-24             |                     |                                  |                                          |                                          |                                 7.2E-4
4019 | 8056.96685  1.08E-24             |                     |                                  |                                          |                                          |                                 8.5E-4
4020 | 8057.06529  8.50E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
4021 | 8057.21621  5.14E-24             |                     |                                  |                                          |                                          |                                 1.8E-4
4022 | 8057.28202  7.18E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
4023 | 8057.42606  1.09E-24             |                     |                                  |                                          |                                          |                                 8.4E-4
4024 | 8057.48553  1.25E-24   790.68115 | 8057.48321  158   2 | 8057.30190  1.14E-24   790.67790 | 233  10  10  101111   0  8847.9798   452 | 515  10   9  000000   0   790.6779   791 | 10.2  +0.18688    1.097  1.9E-4  7.4E-4  7.6E-4
4025 | 8057.63605  1.32E-24   791.48855 | 8057.63948  110   2 | 8057.76675  1.09E-24   791.48480 | 563  10  10  101111   1  8849.2516   474 | 254  10   9  000000   1   791.4848   791 | 10.5  -0.12695    1.215  1.9E-4  6.9E-4  7.2E-4
4026 | 8058.21384  2.10E-24             |                     |                                  |                                          |                                          |                                 4.3E-4
4027 | 8058.27160  7.21E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
4028 | 8058.47796  9.45E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
4029 | 8058.50215  2.11E-24             |                     |                                  |                                          |                                          |                                 5.8E-4
4030 | 8058.94796  2.02E-24             |                     |                                  |                                          |                                          |                                 4.4E-4
4031 | 8059.15300  2.35E-24             |                     |                                  |                                          |                                          |                                 3.8E-4
4032 | 8059.38860  2.07E-24             |                     |                                  |                                          |                                          |                                 4.3E-4
4033 | 8059.59322  2.80E-24   554.39314 | 8059.59503   12   3 | 8059.74375  3.17E-24   554.39340 | 515   6   3  001311   0  8614.1372   354 | 212   7   0  000000   0   554.3934   554 | 6.5  -0.15079    0.883  7.5E-6  3.2E-4  3.2E-4
4034 | 8060.10327  6.69E-25             |                     |                                  |                                          |                                          |                                 8.8E-4
4035 | 8060.29590  6.46E-25   416.88781 | 8060.29242    3   2 | 8061.64944  5.23E-25   416.88810 | 266   5   5  001313   1  8478.5376   295 | 551   6   0  000000   1   416.8881   417 | 5.2  -1.35383    1.236  7.0E-6  1.4E-3  1.4E-3
4036 | 8060.53754  9.91E-25             |                     |                                  |                                          |                                          |                                 8.9E-4
4037 | 8060.90450  1.41E-24             |                     |                                  |                                          |                                          |                                 1.3E-3
4038 | 8061.06468  2.72E-24   294.63006 | 8061.06484    7   3 | 8061.72048  3.78E-24   294.63050 | 663   4   2  101111   1  8356.3510   445 | 356   5   1  000000   1   294.6305   295 | 4.6  -0.65624    0.719  3.4E-6  3.3E-4  3.3E-4
4039 | 8061.10996  3.20E-24   293.96832 | 8061.11068    7   3 | 8061.30178  4.19E-24   293.96910 | 333   4   2  101111   0  8355.2709   450 | 616   5   1  000000   0   293.9691   294 | 4.3  -0.19260    0.763  3.3E-6  2.8E-4  2.8E-4
4040 | 8061.49457  1.30E-24             |                     |                                  |                                          |                                          |                                 6.9E-4
4041 | 8062.59265  2.84E-24             |                     |                                  |                                          |                                          |                                 3.6E-4
4042 | 8062.79937  2.21E-24             |                     |                                  |                                          |                                          |                                 4.6E-4
4043 | 8062.96355  1.72E-24             |                     |                                  |                                          |                                          |                                 5.9E-4
4044 | 8063.06418  7.18E-24   711.54832 | 8063.06456   59   2 | 8063.22330  7.48E-24   711.54510 | 662   8   6  101111   1  8774.7684   836 | 356   9   7  000000   1   711.5451   712 | 8.6  -0.15590    0.960  1.5E-4  1.4E-4  2.1E-4
4045 | 8063.25950  1.17E-23   790.68115 | 8063.25942   28   2 | 8063.24637  1.23E-23   790.67790 | 233   9   8  101111   0  8853.9242   467 | 515  10   9  000000   0   790.6779   791 | 9.2  +0.01638    0.948  1.9E-4  8.9E-5  2.1E-4
4046 | 8063.31406  1.05E-23             |                     |                                  |                                          |                                          |                                 9.9E-5
4047 | 8063.43983  7.44E-25             |                     |                                  |                                          |                                          |                                 1.4E-3
4048 | 8063.59121  5.77E-24   621.06560 | 8063.59086   46   2 | 8063.56732  9.03E-24   621.06410 | 333   7   4  101111   0  8684.6314   755 | 616   8   5  000000   0   621.0641   621 | 7.3  +0.02539    0.639  3.1E-4  7.2E-4  7.8E-4
4049 | 8063.60366  6.40E-24   621.69299 | 8063.60497   61   2 | 8063.63369  4.89E-24   621.69100 | 663   7   4  101111   1  8685.3247   763 | 356   8   5  000000   1   621.6910   622 | 7.6  -0.02804    1.308  3.1E-4  6.5E-4  7.2E-4
4050 | 8063.67905  6.44E-25             |                     |                                  |                                          |                                          |                                 1.6E-3
4051 | 8063.85397  4.14E-24             |                     |                                  |                                          |                                          |                                 2.5E-4
4052 | 8063.96686  3.15E-24             |                     |                                  |                                          |                                          |                                 3.2E-4
4053 | 8064.15905  6.45E-25             |                     |                                  |                                          |                                          |                                 1.6E-3
4054 | 8064.47465  1.64E-24   540.42176 | 8064.47392   29   2 | 8064.57026  1.39E-24   540.42130 | 365   6   3  200101   1  8604.9915   681 | 653   7   2  000000   1   540.4213   540 | 6.3  -0.09515    1.413  6.4E-6  5.2E-4  5.2E-4
4055 | 8064.63942  5.97E-25             |                     |                                  |                                          |                                          |                                 1.7E-3
4056 | 8064.75811  4.56E-24   294.63006 | 8064.75787    6   2 | 8065.17570  3.48E-24   294.63050 | 653   4   4  001311   1  8359.8062   448 | 356   5   1  000000   1   294.6305   295 | 4.6  -0.41803    1.311  3.4E-6  2.2E-4  2.2E-4
4057 | 8065.01468  4.70E-24             |                     |                                  |                                          |                                          |                                 2.2E-4
4058 | 8065.22332  5.08E-24   293.96832 | 8065.22207    6   2 | 8065.29922  4.13E-24   293.96910 | 333   4   2  101111   0  8359.2683   452 | 616   5   1  000000   0   293.9691   294 | 4.3  -0.07668    1.230  3.3E-6  2.0E-4  2.0E-4
4059 | 8065.44247  8.25E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
4060 | 8065.69615  7.54E-24             |                     |                                  |                                          |                                          |                                 1.4E-4
4061 | 8065.76465  1.09E-23   720.17984 | 8065.76466   70   1 | 8065.70209  1.12E-23   720.17630 | 634   9   9  101111   0  8785.8784   877 | 313  10  10  000000   0   720.1763   720 | 9.6  +0.06610    0.971  4.9E-4  9.6E-5  5.0E-4
4062 | 8065.84607  3.87E-24             |                     |                                  |                                          |                                          |                                 2.6E-4
4063 | 8065.90541  1.69E-24             |                     |                                  |                                          |                                          |                                 1.7E-3
4064 | 8065.92069  3.32E-24             |                     |                                  |                                          |                                          |                                 8.7E-4
4065 | 8066.09147  1.00E-23   710.85666 | 8066.09127   31   2 | 8065.83912  1.01E-23   710.85390 | 332   8   6  101111   0  8776.6930   845 | 616   9   7  000000   0   710.8539   711 | 8.3  +0.25511    0.990  1.5E-4  1.2E-4  1.9E-4
4066 | 8066.36746  1.13E-23             |                     |                                  |                                          |                                          |                                 1.0E-4
4067 | 8066.49722  4.57E-24             |                     |                                  |                                          |                                          |                                 2.5E-4
4068 | 8066.73083  4.77E-24   521.62199 | 8066.73282   68   2 | 8065.74067  8.95E-24   521.62170 | 233   6   2  101111   0  8587.3624   320 | 515   7   3  000000   0   521.6217   522 | 6.2  +0.99045    0.533  1.0E-5  2.4E-4  2.4E-4
4069 | 8066.91253  3.45E-24             |                     |                                  |                                          |                                          |                                 8.8E-4
4070 | 8066.92828  1.33E-24             |                     |                                  |                                          |                                          |                                 2.3E-3
4071 | 8067.19663  1.00E-24             |                     |                                  |                                          |                                          |                                 1.1E-3
4072 | 8067.31457  5.72E-24   413.23786 | 8067.31587   12   2 | 8067.05945  3.79E-24   413.23810 | 662   5   0  101111   1  8480.2976   569 | 356   6   1  000000   1   413.2381   413 | 5.6  +0.25488    1.509  4.4E-6  2.4E-4  2.4E-4
4073 | 8067.34316  4.44E-24             |                     |                                  |                                          |                                          |                                 3.1E-4
4074 | 8067.66688  1.83E-24             |                     |                                  |                                          |                                          |                                 6.2E-4
4075 | 8067.93843  1.40E-23   412.62438 | 8067.93864    7   2 | 8067.75511  1.35E-23   412.62500 | 332   5   0  101111   0  8480.3802   562 | 616   6   1  000000   0   412.6250   413 | 5.3  +0.18270    1.040  4.3E-6  8.2E-5  8.2E-5
4076 | 8068.00006  1.03E-24             |                     |                                  |                                          |                                          |                                 1.1E-3
4077 | 8068.15479  5.68E-24   413.23786 | 8068.15450   16   2 | 8068.04761  7.43E-24   413.23810 | 662   5   0  101111   1  8481.2857   570 | 356   6   1  000000   1   413.2381   413 | 5.6  +0.10694    0.765  4.4E-6  9.3E-4  9.3E-4
4078 | 8068.16634  1.82E-23   522.22298 | 8068.16675    9   4 | 8068.50897  1.58E-23   522.22220 | 563   6   2  101111   1  8590.7312   347 | 254   7   3  000000   1   522.2222   522 | 6.5  -0.34185    1.150  1.0E-5  2.9E-4  2.9E-4
4079 | 8068.26341  1.83E-24             |                     |                                  |                                          |                                          |                                 6.2E-4
4080 | 8068.39073  6.81E-24   183.82911 | 8068.38993    6   2 | 8068.18614  2.73E-24   183.82940 | 635   3   3  101111   0  8252.0155   342 | 313   4   2  000000   0   183.8294   184 | 3.6  +0.20430    2.494  3.7E-6  1.7E-4  1.7E-4
4081 | 8068.43406  8.04E-24             |                     |                                  |                                          |                                          |                                 1.4E-4
4082 | 8068.57492  2.45E-23   592.58705 | 8068.57496   33   1 | 8068.44576  2.33E-23   592.58330 | 233   8   8  101111   0  8661.0291   384 | 515   9   9  000000   0   592.5833   593 | 8.2  +0.13291    1.051  2.3E-4  4.8E-5  2.3E-4
4083 | 8068.64098  2.53E-23   593.50362 | 8068.64093   32   1 | 8068.56965  2.18E-23   593.49960 | 563   8   8  101111   1  8662.0692   407 | 254   9   9  000000   1   593.4996   594 | 8.5  +0.07535    1.159  2.2E-4  4.7E-5  2.2E-4
4084 | 8068.92881  1.49E-23   656.43587 | 8068.92886   43   2 | 8068.72073  1.34E-23   656.43240 | 366   8   7  101111   1  8725.1531   822 | 653   9   8  000000   1   656.4324   656 | 8.3  +0.21155    1.111  3.1E-4  7.8E-5  3.2E-4
4085 | 8069.01619  5.01E-24   184.55306 | 8069.01444    3   2 | 8069.22794  2.77E-24   184.55310 | 365   3   3  101111   1  8253.7811   337 | 653   4   2  000000   1   184.5531   185 | 3.3  -0.21179    1.810  3.7E-6  2.3E-4  2.3E-4
4086 | 8069.05811  7.07E-25             |                     |                                  |                                          |                                          |                                 1.6E-3
4087 | 8069.12798  4.17E-24   539.84498 | 8069.12705   14   3 | 8068.97894  3.82E-24   539.84500 | 626   6   1  001311   0  8608.8239   676 | 313   7   2  000000   0   539.8450   540 | 6.6  +0.14902    1.093  6.4E-6  2.9E-4  2.9E-4
4088 | 8069.16264  1.43E-24             |                     |                                  |                                          |                                          |                                 8.6E-4
4089 | 8069.27091  1.42E-23   655.64674 | 8069.27098   42   2 | 8068.92731  1.42E-23   655.64360 | 636   8   7  101111   0  8724.5709   817 | 313   9   8  000000   0   655.6436   656 | 8.6  +0.34674    0.998  3.1E-4  8.2E-5  3.2E-4
4090 | 8069.36133  2.97E-24             |                     |                                  |                                          |                                          |                                 3.8E-4
4091 | 8069.43649  9.01E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
4092 | 8069.49798  4.22E-24             |                     |                                  |                                          |                                          |                                 4.5E-4
4093 | 8069.51970  2.66E-24             |                     |                                  |                                          |                                          |                                 7.1E-4
4094 | 8069.63666  8.98E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
4095 | 8069.67657  2.91E-24             |                     |                                  |                                          |                                          |                                 4.0E-4
4096 | 8069.93259  2.96E-24             |                     |                                  |                                          |                                          |                                 3.8E-4
4097 | 8069.97936  7.90E-25             |                     |                                  |                                          |                                          |                                 1.4E-3
4098 | 8070.09270  5.64E-25             |                     |                                  |                                          |                                          |                                 1.6E-3
4099 | 8070.15196  6.99E-25             |                     |                                  |                                          |                                          |                                 8.2E-4
4100 | 8070.52770  1.01E-24   297.64182 | 8070.53083    2   3 | 8070.59194  4.50E-25   297.64270 | 563   4   2  101111   1  8368.2346   237 | 212   5   0  000000   0   297.6427   298 | 4.5  -0.06512    2.255  6.3E-6  9.0E-4  9.0E-4
4101 | 8070.65342  1.77E-24   758.38543 | 8070.65349   20   3 | 8070.31702  1.97E-24   758.38290 | 563   8   4  101111   1  8828.7000   443 | 212   9   6  000000   0   758.3829   758 | 8.5  +0.33893    0.896  1.9E-4  5.2E-4  5.5E-4
4102 | 8070.87493  1.09E-24             |                     |                                  |                                          |                                          |                                 8.3E-4
4103 | 8070.94629  9.85E-25   521.62199 | 8070.94256    4   2 | 8071.07690  4.19E-25   521.62170 | 266   6   1  101111   1  8592.6986   325 | 515   7   3  000000   0   521.6217   522 | 6.2  -0.13032    2.352  1.0E-5  9.2E-4  9.2E-4
4104 | 8071.15420  1.19E-24   522.22298 | 8071.15644    3   3 | 8070.71054  1.22E-24   522.22220 | 536   6   1  101111   0  8592.9328   349 | 254   7   3  000000   1   522.2222   522 | 6.5  +0.44444    0.973  1.0E-5  7.7E-4  7.7E-4
4105 | 8071.19632  2.23E-24             |                     |                                  |                                          |                                          |                                 4.1E-4
4106 | 8071.27811  1.38E-24             |                     |                                  |                                          |                                          |                                 6.6E-4
4107 | 8071.36429  4.48E-24   383.31849 | 8071.36275   15   2 | 8070.97820  4.25E-24   383.31850 | 233   5   4  200101   0  8454.2967   289 | 515   6   3  000000   0   383.3185   383 | 5.2  +0.38608    1.054  9.8E-6  5.2E-4  5.2E-4
4108 | 8071.38053  3.78E-24   383.97753 | 8071.37889    5   2 | 8071.12618  4.37E-24   383.97720 | 563   5   4  200101   1  8455.1033   264 | 254   6   3  000000   1   383.9772   384 | 5.5  +0.25468    0.865  9.8E-6  6.2E-4  6.2E-4
4109 | 8071.66022  1.08E-24             |                     |                                  |                                          |                                          |                                 8.4E-4
4110 | 8071.71898  9.99E-24   496.67624 | 8071.71879    8   2 | 8071.69117  9.73E-24   496.67510 | 365   6   3  101111   1  8568.3663   663 | 653   7   4  000000   1   496.6751   497 | 6.3  +0.02895    1.027  8.2E-6  9.2E-5  9.2E-5
4111 | 8071.80789  1.09E-23   401.64790 | 8071.80800    8   3 | 8071.68218  1.11E-23   401.64830 | 636   5   1  101111   0  8473.3305   566 | 313   6   2  000000   0   401.6483   402 | 5.6  +0.12531    0.984  4.2E-6  8.4E-5  8.4E-5
4112 | 8072.04320  6.79E-25             |                     |                                  |                                          |                                          |                                 7.1E-4
4113 | 8072.33470  1.10E-24             |                     |                                  |                                          |                                          |                                 8.2E-4
4114 | 8072.53020  1.54E-24   655.64674 | 8072.53059   41   2 | 8072.36408  1.19E-24   655.64360 | 635   9   9  101111   0  8728.0077   855 | 313   9   8  000000   0   655.6436   656 | 9.6  +0.16926    1.293  3.1E-4  5.9E-4  6.7E-4
4115 | 8072.61951  1.25E-24             |                     |                                  |                                          |                                          |                                 7.2E-4
4116 | 8073.53285  4.81E-24             |                     |                                  |                                          |                                          |                                 1.9E-4
4117 | 8073.66382  9.72E-24   402.27782 | 8073.66611    9   2 | 8074.02199  1.08E-23   402.27780 | 366   5   1  101111   1  8476.2998   561 | 653   6   2  000000   1   402.2778   402 | 5.3  -0.35815    0.900  4.6E-6  8.1E-4  8.1E-4
4118 | 8073.67502  4.42E-24             |                     |                                  |                                          |                                          |                                 3.1E-3
4119 | 8073.69287  1.13E-24             |                     |                                  |                                          |                                          |                                 3.1E-3
4120 | 8073.80612  5.46E-25             |                     |                                  |                                          |                                          |                                 1.7E-3
